bitrate,vmaf
5022.1927605105175,68.142764
5821.652028680321,72.2681634316878
6621.112453314973,75.9410827531175
7420.573958976226,79.18885367772347
8220.036470225847,82.0388079189403
9019.499911625588,84.51827719020233
9818.964207737214,86.65459320494408
10618.429283122485,88.47508767660004
11417.895062343161,90.00709231860465
12217.361469960997,91.27793884439237
13016.828430537758,92.31495896739764
13816.295868635207,93.14548440105503
14615.763708815095,93.79684685879889
15415.231875639189,94.29637805406372
16214.70029366924,94.671409700284
17014.168887467025,94.94927351089422
17813.63758159428,95.15730119932874
18613.106300612788,95.32282447902216
19412.57496908429,95.47317506340883
20212.04351157056,95.63568466592329
21011.511852633346,95.837685
21733.694289285082,96.03439987113354
22455.876740377502,96.20848238860079
23178.059204446883,96.36145656009809
23900.241680029532,96.49484639332199
24622.424165661723,96.61017589596877
25344.60665987976,96.70896907573496
26066.789161219935,96.79274994031702
26788.97166821854,96.86304249741133
27511.154179411853,96.92137075471429
28233.336693336176,96.9692587199224
28955.519208527814,97.00823040073206
29677.701723523034,97.0398098048397
30399.884236858143,97.06552093994176
31122.066747069417,97.08688781373465
31844.249252693175,97.10543443391484
32566.43175226568,97.12268480817872
33288.61424432324,97.14016294422277
34010.796727402136,97.15939284974334
34732.97920003868,97.18189853243695
35455.16166076913,97.209204
38304.43201523405,97.32188676878583
41153.70236993957,97.42204269383438
44002.97272486921,97.51044105315813
46852.24308000654,97.58785112476986
49701.51343533505,97.65504218668201
52550.78379083833,97.7127835169073
55400.05414649993,97.76184439345832
58249.32450230336,97.80299409434765
61098.594858232165,97.83700189758792
63947.865214269885,97.86463708119174
66797.1355704001,97.88666892317175
69646.4059266063,97.90386670154054
72495.67628287208,97.9169996943107
75344.94663918094,97.92683717949484
78194.21699551644,97.93414843510564
81043.48735186209,97.9397027391556
83892.7577082015,97.94426936965745
86742.02806451813,97.94861760462369
89591.29842079559,97.95351672206702
92440.56877701738,97.959736
99159.40134641055,97.9758226281723
105878.23391572938,97.99048557091581
112597.06648498459,98.00380985425505
119315.89905418703,98.01588050421469
126034.73162334728,98.02678254681922
132753.56419247622,98.0366010080933
139472.39676158462,98.04542091406152
146191.2293306832,98.05332729074846
152910.0618997827,98.06040516417862
159628.89446889385,98.06673956037667
166347.72703802751,98.07241550536726
173066.55960719433,98.07751802517484
179785.39217640512,98.08213214582409
186504.2247456706,98.08634289333955
193223.05731500156,98.09023529374585
199941.88988440868,98.09389437306751
206660.72245390285,98.0974051573292
213379.55502349467,98.10085267255543
220098.38759319502,98.10432194477085
226817.22016301454,98.107898
242238.32989440204,98.11599728461316
257659.43962579023,98.12352280053915
273080.5493571789,98.13050218493423
288501.65908856824,98.13696307495499
303922.76881995774,98.14293310775767
319343.87855134776,98.14843992049879
334764.98828273814,98.15351115033477
350186.0980141288,98.15817443442197
365607.20774551964,98.16245740991681
381028.31747691054,98.16638771397575
396449.4272083017,98.16999298375518
411870.5369396929,98.1733008564115
427291.64667108405,98.17633896910112
442712.75640247506,98.17913495898047
458133.8661338661,98.18171646320599
473554.97586525674,98.18411111893401
488976.0855966473,98.18634656332105
504397.19532803743,98.18845043352343
519818.3050594273,98.1904503666976
