crf,filesize,bitrate,vmaf
63,5595,16768.23176823177,71.561078
62,6609,19807.19280719281,75.444396
61,7450,22327.672327672328,77.899363
58,9399,28168.83116883117,81.555345
57,10011,30002.997002997003,82.692145
55,11399,34162.83716283716,85.188883
54,11775,35289.71028971029,85.591957
51,14038,42071.92807192807,87.997897
48,16281,48794.205794205795,90.10962
47,17209,51575.42457542458,90.826817
45,19438,58255.744255744255,92.414012
42,22853,68490.50949050949,94.251012
40,25768,77226.77322677322,95.372368
35,34340,102917.08291708292,96.971959
30,43916,131616.38361638362,97.747645
18,77231,231461.53846153847,98.307201
13,98674,295726.27372627374,98.512805
12,112733,337861.13886113884,98.57905
8,164064,491700.2997002997,98.595242
6,219223,657011.988011988,98.608013
