crf,filesize,bitrate,vmaf
63,29076,6834.577187518364,74.694254
62,36788,8647.352647352647,77.023899
61,43693,10270.435446906034,78.772624
60,49859,11719.809602162542,80.083306
59,55825,13122.171945701357,81.303363
58,61774,14520.538285244167,82.236121
55,80031,18812.011517893872,85.010476
52,98215,23086.325439266613,86.647999
51,104993,24679.555738379266,87.174969
48,127055,29865.428688958105,88.843968
46,143983,33844.50843274372,89.855966
45,154120,36227.30210965505,90.404586
43,173116,40692.483986601634,91.318189
40,207169,48696.95010871481,92.422166
38,234303,55075.04260445437,92.990608
36,264173,62096.256684491986,93.577188
34,299941,70503.84909208439,93.98204
33,319474,75095.25768349298,94.164087
32,340462,80028.6772051478,94.34939
31,365160,85834.16583416583,94.492661
27,452106,106271.61074219897,94.980236
22,603627,141887.99435858257,95.575544
18,703546,165374.86043368396,95.913942
14,814400,191432.09731445025,96.246494
12,884530,207916.78909325966,96.378821
11,950201,223353.3525298231,96.451336
6,1851581,435230.8867602985,97.351867
5,2241540,526894.2821883998,97.462093
1,3066016,720694.8345771875,97.51544
