crf,filesize,bitrate,vmaf
63,30624,7492.262839201614,92.389073
62,37098,9076.148341454464,93.31988
61,42292,10346.877612183735,94.065903
60,46385,11348.243593141551,94.493561
59,50654,12392.668555933864,94.796504
58,54011,13213.96970376562,95.024159
57,58130,14221.696670676263,95.295999
55,64233,15714.81579644845,95.514518
47,93742,22934.290199596322,96.123624
38,144485,35348.73289975331,96.562882
37,154123,37706.7014618035,96.625298
35,167692,41026.40216925931,96.680549
32,204824,50110.86872311362,96.810216
27,266441,65185.67147138576,96.957933
23,331362,81068.80874227814,97.029882
19,381723,93389.79387958981,97.081277
6,929335,227364.88001794124,97.158145
2,1761379,430927.19525372586,97.162087
