crf,filesize,bitrate,vmaf
63,133832,11928.473013974872,83.399291
62,166839,14870.393546973473,87.030723
61,195510,17425.84552993475,88.822752
60,218661,19489.298805283936,90.10329
59,240702,21453.81755790678,91.044388
58,263859,23517.80561445989,91.754151
57,285611,25456.56573909362,92.291655
56,307000,27362.971600889818,92.785429
53,368050,32804.370350838755,93.729231
51,412003,36721.910060200025,94.227243
48,483138,43062.186883748225,94.873769
47,509983,45454.887120314634,95.072907
46,535630,47740.809376497105,95.239781
45,566891,50527.10857915319,95.414642
44,595222,53052.25629389198,95.524286
42,666543,59409.11133476189,95.770953
39,776714,69228.67467105386,96.072792
38,816642,72787.46532278131,96.170886
37,862656,76888.70237569122,96.251619
36,913436,81414.73396491984,96.332952
35,955920,85201.34140951985,96.395325
31,1197282,106713.98489985851,96.614708
27,1443321,128643.49033865763,96.770398
26,1519413,135425.58556684954,96.81225
24,1721484,153436.2143432775,96.875117
20,1969514,175543.1780115795,96.948939
7,4141543,369136.5586086776,97.236746
6,4816675,429311.2092368598,97.258197
5,5646466,503270.6475680453,97.274868
3,6933371,617972.74844115,97.280947
