crf,filesize,bitrate,vmaf
63,44373,33246.503496503494,49.962344
62,55972,41937.06293706294,55.195565
60,76401,57243.506493506495,62.56597
58,93862,70326.17382617382,67.328815
56,110938,83120.37962037962,71.342673
54,127478,95512.98701298701,74.227764
53,136831,102520.72927072927,75.75645
52,145228,108812.18781218781,77.023451
49,175691,131636.61338661338,80.771664
47,199705,149629.1208791209,82.926046
45,226169,169457.2927072927,84.915178
44,240200,179970.02997002998,85.820548
43,254944,191016.98301698302,86.665585
42,272566,204220.2797202797,87.589021
41,292096,218853.14685314684,88.393529
40,311944,233724.27572427574,89.177483
39,332875,249406.84315684316,89.825547
38,354177,265367.3826173826,90.457906
37,378367,283491.7582417582,91.039714
36,403117,302035.71428571426,91.621
34,460032,344679.32067932066,92.55933
33,485860,364030.969030969,92.957789
32,515117,385951.7982017982,93.281803
29,610263,457240.00999001,94.115237
27,679340,508996.003996004,94.635389
26,726006,543960.5394605395,94.893804
25,761863,570826.4235764235,95.076356
24,820434,614710.7892107893,95.306678
22,905281,678282.4675324676,95.505674
17,1149072,860943.056943057,95.956072
13,1455357,1090427.3226773227,96.324496
12,1545913,1158276.4735264736,96.409306
10,1791502,1342284.2157842158,96.581483
9,1921471,1439663.5864135865,96.648813
7,2324915,1741944.3056943058,96.835586
6,2559146,1917442.057942058,96.906299
4,3195182,2393992.5074925073,97.072493
3,3574232,2677996.003996004,97.130495
1,4359184,3266121.878121878,97.25041
