crf,filesize,bitrate,vmaf
63,33383,8084.763721127358,81.389427
62,40967,9921.472466927013,85.105294
61,47804,11577.271213634851,86.528625
59,59214,14340.568522386706,88.478301
57,69231,16766.506221051673,89.700844
56,74134,17953.92486301577,90.234126
53,89888,21769.261041988317,91.601554
49,111365,26970.605152423333,92.869523
46,130469,31597.25123361487,93.820994
45,138708,33592.58922895286,94.172604
43,154152,37332.8489692126,94.695737
41,173237,41954.89359125723,95.169317
39,193075,46759.30130475585,95.535019
36,229570,55597.73559773559,95.97946
35,242841,58811.73372082463,96.113237
32,289595,70134.71377107741,96.487472
31,309715,75007.41682559864,96.624764
30,329410,79777.19250446522,96.7517
27,390967,94685.1935942845,96.873408
20,557051,134907.7589077589,97.200691
17,636023,154033.36057881513,97.328753
13,787138,190630.70263070264,97.5119
11,921478,223165.4406199861,97.627206
9,1059288,256540.55035873217,97.726938
8,1188269,287777.4346865256,97.7611
5,2169655,525451.5181787909,97.997855
3,2725659,660105.7124693489,98.052535
2,2823635,683833.7420155602,98.060789
