crf,filesize,bitrate,vmaf
63,43004,21480.51948051948,89.905871
62,51908,25928.071928071928,92.591651
61,58275,29108.39160839161,93.357192
60,64449,32192.30769230769,94.002779
59,69205,34567.932067932066,94.491512
57,78191,39056.443556443555,95.147531
55,86740,43326.67332667333,95.651486
52,99602,49751.24875124875,95.903047
47,122984,61430.569430569434,96.259957
44,136495,68179.32067932068,96.446705
34,218839,109310.18981018981,96.837697
27,299300,149500.4995004995,96.957324
21,396431,198017.4825174825,97.028401
16,435028,217296.7032967033,97.050377
6,633563,316465.034965035,97.137969
