crf,filesize,bitrate,vmaf
63,13005,11992.62276185353,81.225693
62,15895,14657.650042265426,83.655685
61,18254,16833.01314070545,85.193117
56,26916,24820.71774379467,87.971084
55,28529,26308.15338507646,88.347452
53,31179,28751.86352109429,88.945082
49,37611,34683.1629908553,89.894797
41,54359,50127.41105048797,91.30495
36,69831,64394.989625758855,92.579249
34,78803,72668.56220702374,93.027402
30,99803,92033.81234150464,93.497033
27,120903,111491.27795281641,93.957321
26,129720,119621.91654499347,94.139434
24,145571,134238.9917774533,94.451221
22,163174,150471.68216398987,94.768177
17,218426,201422.57742257742,95.355458
13,304443,280743.5641281795,95.581849
11,354534,326935.2186275263,95.674118
9,455224,419786.9822485207,95.849615
5,942637,869257.2043341275,96.132838
1,1368990,1262420.6562668101,96.261232
