crf,filesize,bitrate,vmaf
63,119288,14974.093968858368,81.909777
62,145120,18216.757064924604,85.19554
61,167111,20977.263574122215,86.867622
60,187316,23513.575429805795,88.156722
59,206458,25916.450042104494,89.238257
58,224768,28214.884591847946,90.092251
56,258178,32408.80585383203,91.46258
53,307964,38658.38873168717,92.787283
51,341216,42832.476424099455,93.409628
50,359357,45109.69658613637,93.736616
48,400412,50263.28645176812,94.38769
47,420364,52767.839490352584,94.644342
45,470387,59047.172722565396,95.149488
44,495577,62209.246251131066,95.376982
43,520882,65385.75560565089,95.561085
42,549452,68972.11688834726,95.760551
41,580513,72871.17071410264,95.932454
39,646558,81161.72832403198,96.162459
37,730189,91659.8375446543,96.398534
36,767003,96281.05925488124,96.496647
34,861346,108123.83428090233,96.675014
32,967526,121452.49514883023,96.821399
30,1089328,136742.16882593845,96.943061
29,1151953,144603.4175248835,96.996543
28,1227334,154065.91314444717,97.039869
25,1444694,181350.87948700515,97.145046
23,1651584,207321.55802312872,97.23867
19,1931791,242495.64048516928,97.297657
17,2093710,262821.15789969196,97.324254
13,2605546,327071.3788828972,97.392401
11,2986492,374891.11935185234,97.422375
8,4155378,521620.11810179346,97.509764
7,4716915,592109.2520045401,97.548485
5,6563251,823877.8185165619,97.584977
4,7081552,888939.5839762333,97.595147
3,8197859,1029068.3975710153,97.615566
1,9066992,1138169.7255623958,97.625923
