crf,filesize,bitrate,vmaf
63,57895,19279.05427905428,57.076835
62,69595,23175.158175158173,60.813818
59,102156,34017.982017982016,70.87735
58,112312,37399.933399933405,72.969878
57,121708,40528.80452880453,74.799154
55,142736,47531.13553113553,78.452421
53,165109,54981.35198135198,81.624587
52,177606,59142.857142857145,83.072312
50,203547,67781.21878121878,85.706223
48,234836,78200.46620046621,88.137366
47,251719,83822.51082251081,89.195942
45,290691,96800.1998001998,91.439449
44,309029,102906.75990675991,92.26385
42,351615,117087.91208791209,93.859529
40,405097,134897.4358974359,95.079773
39,432588,144051.94805194804,95.534283
38,461962,153833.49983349984,95.984485
37,493906,164470.86247086248,96.348036
35,561512,186983.682983683,96.900042
33,637876,212412.92041292042,97.396329
32,677800,225707.62570762573,97.574052
30,765382,254872.46087246086,97.841759
26,956373,318472.52747252746,98.367138
23,1137875,378912.75391275395,98.614524
19,1359178,452606.7266067266,98.830258
14,1751552,583267.3992673992,99.05648
13,1858262,618801.8648018647,99.092063
11,2157953,718599.0675990676,99.175375
10,2338078,778580.7525807526,99.208195
6,3532760,1176410.2564102565,99.28488
5,4233562,1409777.5557775558,99.318255
1,6105016,2032972.360972361,99.35005
