crf,filesize,bitrate,vmaf
63,26153,8360.5994005994,87.898771
62,31639,10114.365634365635,89.756395
61,36211,11575.944055944055,91.119099
60,39386,12590.92907092907,92.041312
59,43147,13793.24675324675,92.630812
58,46022,14712.327672327672,93.039071
57,49362,15780.05994005994,93.426018
56,52349,16734.945054945056,93.711353
54,58327,18645.994005994005,94.275004
50,70061,22397.122877122878,94.873645
48,76900,24583.416583416583,95.197189
47,81944,26195.884115884113,95.390682
41,110144,35210.869130869134,95.937767
40,117140,37447.35264735265,96.061547
38,130742,41795.644355644356,96.294299
37,137098,43827.53246753247,96.356798
35,154249,49310.36963036963,96.50549
33,171692,54886.55344655344,96.597104
29,222846,71239.48051948052,96.811841
26,264823,84658.7012987013,96.925572
19,390212,124743.0969030969,97.042212
7,713897,228218.82117882118,97.10752
1,1482770,474012.3876123876,97.161031
