crf,filesize,bitrate,vmaf
63,38230,11043.414416908392,82.645419
62,46827,13526.810538858732,86.274881
61,54359,15702.56249774322,88.006651
60,60049,17346.220045015227,89.312087
59,65442,18904.083867939287,90.214834
58,70510,20368.065669270487,91.024675
56,80345,23209.08007654996,92.098803
52,98736,28521.647027671126,93.310367
48,120416,34784.30003731208,94.064664
46,133214,38481.22961375973,94.492178
45,139807,40385.734747180526,94.682454
43,154891,44743.01602012445,95.01246
42,166099,47980.64586016394,95.19377
40,187011,54021.44843108699,95.489526
38,207805,60028.164606477854,95.730976
37,218707,63177.40091234067,95.824692
36,231763,66948.85837054513,95.925341
32,291862,84309.52180349772,96.215962
31,318451,91990.22664082905,96.341725
30,341473,98640.54018270885,96.419493
29,360805,104224.93169481122,96.475288
24,485080,140123.97241312906,96.684888
19,628385,181520.16658040753,96.841825
12,816149,235759.13243383123,96.934349
10,962263,277966.7561354308,96.982472
9,1030238,297602.54203627695,96.994092
3,1869054,539909.4399576327,97.081442
2,2000728,577945.8132229217,97.092745
1,2037444,588551.8818530866,97.095521
