crf,filesize,bitrate,vmaf
63,29543,6439.306148397057,84.483018
62,35948,7835.364635364635,87.20904
61,41425,9029.152665516302,88.884617
60,46334,10099.137226409954,90.017849
58,54360,11848.515121242393,91.542563
56,62290,13576.968486059393,92.553478
54,70545,15376.260103532832,93.345173
52,77677,16930.778312596492,93.840318
49,89811,19575.551721006268,94.63334
46,104186,22708.782126963946,95.284291
45,109565,23881.209699391515,95.477947
42,127740,27842.70275179366,95.982374
37,166400,36269.18536009445,96.498973
32,219787,47905.621651076195,96.88238
29,262041,57115.466351829986,97.088867
28,274551,59842.1941694669,97.137619
25,327899,71470.12987012987,97.341753
24,349581,76196.02215965853,97.405237
20,417913,91089.9282535646,97.492352
9,1173929,255874.0895468168,97.725949
8,1349028,294039.34247570613,97.762307
4,2786211,607293.2885296522,97.90172
1,3642683,793973.2267732269,97.918249
