crf,filesize,bitrate,vmaf
63,186773,23445.41322551794,72.938808
62,233575,29320.417802093194,77.779795
61,275648,34601.79610964951,80.860231
60,310336,38956.14333310668,82.684844
59,343166,43077.25782071333,84.280848
57,409056,51348.35844783489,86.441865
55,473325,59415.9766934636,87.831586
53,540853,67892.69369374082,89.017103
52,577118,72445.00002615187,89.540129
51,613532,77016.01016784261,90.047029
49,690327,86656.0036821817,90.929324
47,791018,99295.6363008719,91.760531
46,834730,104782.7565105052,92.095197
45,891229,111875.01503731872,92.492319
44,944240,118529.42868649674,92.814778
43,1003097,125917.684409831,93.118874
42,1070496,134378.20817925528,93.457536
39,1284320,161219.30425595347,94.203819
38,1370205,172000.3556652771,94.461556
37,1460615,183349.4254436663,94.69162
36,1557748,195542.4261602272,94.894223
35,1653873,207608.89372407697,95.063297
34,1791311,224861.33761526432,95.244446
32,2018636,253397.19965897975,95.532973
31,2167329,272062.47155985376,95.674168
29,2440450,306347.05608527595,95.864543
26,2902380,364332.63072006527,96.160346
22,3635605,456373.5740699091,96.410117
19,4295492,539208.4773864879,96.624667
15,5006602,628473.3486408879,96.736394
11,6190683,777109.759350597,96.893994
10,6664229,836553.4779356768,96.956305
7,8614818,1081408.811084204,97.101558
4,11705664,1469399.3754936163,97.206275
3,13197197,1656629.9041272863,97.240307
1,14009139,1758552.1075782857,97.245428
