crf,filesize,bitrate,vmaf
63,48650,13563.18100504147,90.116134
62,58876,16414.0975303766,91.738651
61,67746,18886.973491624653,92.934068
60,74567,20788.60674209511,93.816371
59,80747,22511.53497665126,94.363385
57,92447,25773.389401296376,94.992278
55,104192,29047.789419882447,95.321399
53,115713,32259.74025974026,95.55141
51,126146,35168.36651720373,95.754229
50,129942,36226.65706386637,95.825956
48,141692,39502.45103733476,96.006048
47,149057,41555.74657900239,96.075505
42,184819,51525.86947935785,96.386679
40,207030,57718.09585763074,96.550612
38,227153,63328.20667704389,96.648112
36,246329,68674.3024417443,96.716977
35,265905,74131.91459703086,96.755603
30,338073,94251.70178658552,96.877277
27,373561,104145.43595938946,96.936671
16,534842,149109.12343470482,97.037857
6,988558,275601.05011267803,97.052473
2,1730300,482392.0265780731,97.072637
