crf,filesize,bitrate,vmaf
63,21957,8922.738278670482,90.162569
62,27592,11212.651755024637,92.078331
61,33036,13424.947933422509,93.447192
59,41110,16706.005858548233,94.454805
58,45441,18466.00856770348,94.873549
57,49213,19998.8486090181,95.233256
56,52233,21226.095937960345,95.403836
55,56222,22847.118982712203,95.59337
50,73626,29919.639682351546,96.246326
46,90038,36589.03808056351,96.511553
45,98322,39955.43439611236,96.619643
41,120374,48916.778137117115,96.805527
7,489254,198819.75651467178,97.038695
5,885036,359654.9890787179,97.218661
4,1084693,440790.2605868708,97.292321
