crf,filesize,bitrate,vmaf
63,90149,6671.032671032671,81.399556
61,124252,9194.657194657195,85.956719
60,136150,10075.110075110075,87.220138
59,149321,11049.765049765048,88.536871
58,160819,11900.6179006179,89.657783
56,183752,13597.661597661598,90.922655
55,193175,14294.964294964295,91.425835
54,202813,15008.177008177008,91.885747
53,212757,15744.033744033744,92.2725
51,233417,17272.875272875273,93.049299
48,264804,19595.515595515597,93.92584
45,305207,22585.340585340586,94.672341
43,335873,24854.62685462686,95.068142
39,410566,30381.91438191438,95.695199
37,473869,35066.34106634106,96.071855
36,502649,37196.063196063194,96.205159
33,599912,44393.53239353239,96.642023
25,973103,72009.69400969401,97.304116
20,1297287,95999.33399933399,97.47848
18,1460104,108047.80404780406,97.564065
12,2366709,175136.64113664115,97.664742
8,3953637,292569.4305694306,97.716922
7,4629644,342593.9985939986,97.72653
