crf,filesize,bitrate,vmaf
63,27384,11128.12611117696,82.067532
62,34471,14008.093601313942,86.378325
60,44889,18241.690512876954,89.861928
59,49643,20173.58912274166,90.791311
57,57126,23214.480434819416,92.043763
56,60510,24589.647640495095,92.524454
51,81525,33129.582282124655,93.973151
48,93130,37845.54428622225,94.540009
47,97846,39762.00071115326,94.737064
44,113237,46016.49198259368,95.342307
42,121993,49574.69648995073,95.527124
36,162255,65936.09780050459,96.173883
30,226315,91968.37061243842,96.485764
23,336095,136580.03013935217,96.833466
15,417614,169707.17418175045,96.937164
9,534385,217159.78936317918,96.987682
6,759409,308603.5320611592,97.065764
3,1165982,473823.9387730913,97.12834
1,1271489,516699.16524153814,97.143803
