crf,filesize,bitrate,vmaf
63,103797,18997.247027781377,77.389016
62,130346,23856.326879227643,81.982417
61,152456,27902.967261745885,84.695383
60,172354,31544.76058292852,86.334914
59,190762,34913.849509269356,87.722179
58,206738,37837.826295841565,88.711255
56,244812,44806.24718792658,90.416414
55,262180,47984.99210712952,90.90709
54,279925,51232.73672891994,91.353029
53,297689,54483.9587893023,91.769908
51,335700,61440.84922710877,92.60437
49,379987,69546.39253875896,93.353131
48,401525,73488.34371735135,93.681722
47,427013,78153.23607690021,94.008032
46,452347,82789.94288154594,94.286389
45,482183,88250.61960939823,94.574898
42,582888,106681.95926211192,95.291225
41,614488,112465.48870976352,95.485729
40,650974,119143.26894479565,95.637164
38,740531,135534.26725945808,95.954697
36,829593,151834.66914764623,96.246528
34,950167,173902.49445211276,96.429141
32,1071655,196137.6028551601,96.570009
30,1228901,224917.25068824308,96.707671
27,1430443,261804.08904073024,96.87253
23,1815089,332203.18612685025,97.07533
21,1925744,352455.605463239,97.110227
14,2583844,472903.0969030969,97.246842
8,3932129,719670.3754261006,97.414732
1,7107344,1300808.0164110698,97.422023
