crf,filesize,bitrate,vmaf
63,30130,13630.143441464197,86.264921
62,36665,16586.43243548904,88.741813
61,42127,19057.32003845211,90.17875
59,50146,22684.93770380563,91.919583
58,54010,24432.92556500104,92.482912
57,57911,26197.651405198576,93.010863
56,61186,27679.188735792508,93.449257
54,68437,30959.38024239911,93.962158
51,79364,35902.51258175787,94.539566
48,90582,40977.28686407931,95.000946
47,96106,43476.221891316236,95.182623
44,110703,50079.58079656193,95.589576
42,122846,55572.80455393663,95.890941
37,164059,74216.65127325505,96.365778
36,171265,77476.48577837257,96.420479
32,220898,99929.35366520273,96.676161
15,479969,217127.32550468398,97.184903
6,825557,373463.66840706463,97.421418
4,1079582,488378.9418129041,97.469288
1,1437002,650067.8189734793,97.4806
