crf,filesize,bitrate,vmaf
63,18403,13370.62937062937,88.704879
62,21875,15893.19771137953,90.613637
61,24932,18114.24938697666,91.824648
60,26985,19605.84869675779,92.392771
57,33198,24119.88011988012,93.595932
54,38086,27671.237853056035,94.317204
51,42929,31189.901008082827,94.874319
49,46937,34101.8981018981,95.249758
44,57117,41498.13822541095,95.821138
42,62121,45133.7753155935,96.027294
41,64611,46942.875306511676,96.108881
38,75331,54731.450367814,96.410199
35,85838,62365.271092543815,96.621503
34,90332,65630.36963036963,96.692799
32,99504,72294.25120334211,96.823202
27,126932,92221.95985832349,96.989489
26,133874,97265.64344746163,97.023024
24,147533,107189.5377349923,97.062312
19,177191,128737.444373808,97.122501
9,283465,205950.4132231405,97.226133
7,319236,231939.6966669694,97.251249
6,346376,251658.1600217964,97.264895
5,422167,306723.8216329125,97.299
3,512036,372017.80038143677,97.305673
