crf,filesize,bitrate,vmaf
63,14683,9778.887778887778,90.62877
62,17396,11585.747585747586,92.713241
61,19763,13162.17116217116,93.970729
59,23264,15493.839493839492,94.994266
57,26204,17451.88145188145,95.555559
54,30996,20643.356643356645,96.118087
51,34852,23211.455211455213,96.365209
42,50285,33489.84348984349,96.665766
41,52787,35156.17715617716,96.699984
37,62965,41934.731934731935,96.814705
33,78048,51980.01998001998,96.966727
31,83823,55826.17382617383,96.982031
22,143241,95398.6013986014,97.131206
13,208666,138971.69497169496,97.17143
5,341018,227118.21511821513,97.19079
1,469449,312653.34665334667,97.191981
