crf,filesize,bitrate,vmaf
63,1909,2288.5114885114886,87.069168
62,2028,2431.1688311688313,88.997232
61,2128,2551.048951048951,90.129488
53,2909,3487.3126873126866,91.609878
51,3301,3957.2427572427578,92.244776
48,3601,4316.883116883117,92.640497
39,6164,7389.41058941059,94.069996
33,9917,11888.511488511489,94.764502
21,19370,23220.77922077922,95.688935
19,22092,26483.91608391608,95.907265
16,26791,32117.082917082917,96.102922
12,37018,44377.22277722278,96.322108
10,47671,57148.05194805196,96.393154
6,106050,127132.86713286713,96.577377
3,234166,280718.4815184815,96.776491
