crf,filesize,bitrate,vmaf
63,45639,9043.32031604759,59.838222
60,74133,14689.376738963516,70.31342
58,89495,17733.34103912616,74.000152
56,105426,20890.052096663665,77.583851
55,112399,22271.74478414148,78.54695
54,121298,24035.072365650874,79.772147
52,138493,27442.24370670652,81.944105
49,168559,33399.79029235228,84.597973
48,180294,35725.06832010965,85.548201
46,204270,40475.88774861502,87.026563
45,216562,42911.53474624549,87.696282
44,231469,45865.34127029995,88.397236
42,265088,52526.9111054235,89.784188
41,283320,56139.56291642242,90.39736
40,302659,59971.56562445819,90.959307
39,321261,63657.53255009453,91.398957
38,343897,68142.83237423733,91.873641
37,367558,72831.23488082166,92.317917
36,389712,77221.02690697732,92.650193
35,416659,82560.54689112541,93.027457
34,449892,89145.63122827586,93.367606
31,544369,107866.15037854708,94.224667
29,613784,121620.66033140414,94.6039
27,690015,136725.7535852577,94.965946
26,719191,142506.9475978567,95.09945
24,819818,162446.08284277708,95.343038
22,919140,182126.63369688162,95.575244
20,1013465,200817.03420546395,95.681873
16,1263319,250325.3440774102,95.9177
13,1559920,309096.52331139933,96.153837
11,1832008,363010.47712617955,96.329381
10,1957072,387791.7784694644,96.395753
9,2174626,430899.8769825216,96.503509
8,2411609,477857.8116098777,96.612538
7,2706155,536221.7947341914,96.718231
6,3115441,617321.3893544471,96.802139
5,3596630,712668.4885362572,96.898539
4,3992500,791109.7167295514,96.953903
1,4794261,949977.8238290634,97.057434
