crf,filesize,bitrate,vmaf
63,32821,6007.000632954831,91.777722
62,38832,7107.152389595138,93.289211
61,43986,8050.453363430462,94.251386
59,51819,9484.073178729668,95.209581
57,58120,10637.301629668042,95.609353
55,64610,11825.121443442054,95.908001
48,87583,16029.710747268,96.408043
46,95012,17389.38923671748,96.558632
38,141790,25950.84305007969,96.873516
36,151890,27799.37619632276,96.919788
32,191191,34992.36641221374,97.027845
30,216787,39677.02526481153,97.068239
27,252868,46280.68115091015,97.110846
17,352918,64592.14068374373,97.218048
6,1008466,184572.55721377858,97.338981
1,1894496,346736.50014108035,97.355651
