crf,filesize,bitrate,vmaf
63,35402,12301.437692742042,91.335111
62,42689,14833.514311775181,92.897493
61,48612,16891.63010902141,93.988688
59,57782,20078.008947574162,95.108789
57,66262,23024.627546366675,95.582735
55,73638,25587.629761542805,95.91936
48,99253,34488.294314381266,96.274824
47,105628,36703.470442600876,96.352664
41,136849,47552.10007383921,96.615317
36,171319,59529.68770360075,96.814359
27,271311,94274.76870955132,96.956334
20,375058,130324.63188984928,97.027733
6,701852,243878.5562263823,97.065818
1,1121263,389614.90683229815,97.085269
