crf,filesize,bitrate,vmaf
63,16060,10133.024869866977,82.048266
62,20467,12913.612703086386,86.337402
61,24323,15346.548188653453,88.809989
60,27408,17293.02276670698,90.233871
59,31081,19610.494768389508,91.307049
58,33671,21244.650086755348,92.005925
57,36571,23074.399284925603,92.548025
56,40150,25332.562174667437,93.096245
54,45638,28795.204795204794,93.907194
51,53646,33847.83637415217,94.576679
47,66470,41939.11351806088,95.078511
44,77838,49111.73037488827,95.51112
41,93183,58793.627425206374,95.896623
38,107398,67762.55323623745,96.199764
33,145724,91944.26626005574,96.511031
32,151054,95307.21909669279,96.524818
28,205117,129418.16078658184,96.588864
8,579616,365707.5556022924,96.96178
6,616061,388702.45543929754,96.969577
1,1059648,668582.7856354173,96.975775
