crf,filesize,bitrate,vmaf
63,102450,11424.85421555189,74.964845
62,129745,14468.694096601073,79.220425
61,153495,17117.208373022328,81.769882
60,173380,19334.71179982808,83.393905
59,194487,21688.48825593012,84.77652
58,212915,23743.512301651837,85.863192
57,232555,25933.69421276398,86.918957
56,251994,28101.461329368307,87.780287
55,270436,30158.046604558233,88.412842
54,289075,32236.600608693636,88.982981
52,328552,36638.933159863394,89.984084
51,350799,39119.83830123365,90.502968
49,397838,44365.45779801594,91.394034
48,421437,46997.13309945868,91.78726
47,451290,50326.23190762726,92.20628
46,476241,53108.67736914249,92.495101
45,507935,56643.077852380186,92.860312
44,538334,60033.06460980879,93.196489
43,570008,63565.23476523476,93.529422
41,646745,72122.66802964477,94.096223
40,688377,76765.3184025277,94.339573
38,777765,86733.5455242432,94.774255
37,827574,92288.06542294913,94.969719
36,877354,97839.3513463281,95.154477
35,932119,103946.54647677904,95.330431
33,1068215,119123.4811699928,95.649229
30,1277383,142449.14155611827,95.98027
27,1520724,169585.65155774457,96.239052
26,1601519,178595.61833515324,96.289199
23,1929249,215142.88502195477,96.453551
20,2176112,242672.15575122554,96.562921
16,2598821,289811.1376995098,96.732705
12,3119540,347879.84108914336,96.836401
8,4365956,486875.6545779802,96.992294
7,4775579,532555.333039054,97.01616
6,5411977,603524.1409753038,97.046252
4,6741857,751827.5584880236,97.097332
1,8105179,903860.3071347259,97.140894
