crf,filesize,bitrate,vmaf
63,57963,10608.56700551357,83.854199
62,71354,13059.429120497825,87.060672
61,83292,15244.358694740375,88.984287
60,92843,16992.412167984687,90.0372
59,102707,18797.751866454157,91.008377
58,110979,20311.71881553561,91.640895
55,135852,24864.0519785558,93.055328
54,143966,26349.101280398987,93.38966
48,195332,35750.26500217339,94.475772
47,204399,37409.735302865076,94.62161
45,225080,41194.83569865249,94.940814
41,283947,51968.855571909015,95.487486
40,302447,55354.7826219582,95.615645
39,321045,58758.64593421845,95.715587
36,377709,69129.46595389344,95.977467
32,477474,87388.76390784788,96.294667
28,600382,109883.76508987197,96.491627
27,631723,115619.89155882284,96.523832
25,712801,130459.03714606003,96.60396
23,801569,146705.630247615,96.687238
20,903628,165384.78315577554,96.756805
12,1222618,223767.31665281282,96.866379
8,1685925,308563.1925326582,96.935768
6,2193972,401547.52118110895,97.003607
4,2648115,484666.17352113535,97.046696
3,3063138,560624.9628234361,97.085437
2,3201317,585914.909517963,97.093977
