crf,filesize,bitrate,vmaf
63,42989,9910.627833704757,91.239817
62,52158,12024.437101360178,92.804232
61,58992,13599.938523015446,93.922515
59,71163,16405.82494428648,94.93132
58,75557,17418.811957273494,95.199382
57,81217,18723.660954430186,95.421558
55,90249,20805.886421271036,95.664745
50,111279,25654.115115653574,96.079558
46,134603,31031.199569661112,96.300203
39,184657,42570.583262890956,96.667452
38,197558,45544.76292937831,96.737579
36,212496,48988.54991162684,96.795577
35,230376,53110.581725966345,96.830199
32,272380,62794.1289479751,96.904758
30,309994,71465.61131176517,96.969607
24,425439,98080.15061861216,97.060848
16,494352,113967.26350572504,97.095307
14,505859,116620.07223545684,97.095677
4,1109422,255764.6968416199,97.106899
1,1531565,353084.9919311458,97.107878
