crf,filesize,bitrate,vmaf
63,25845,12393.206793206793,92.622433
62,30483,14617.222777222778,95.117204
61,34129,16365.554445554448,96.373409
60,37237,17855.904095904098,96.882171
59,39910,19137.66233766234,97.266918
57,45351,21746.733266733267,97.941502
56,47734,22889.43056943057,98.229882
53,54961,26354.925074925075,98.486004
47,70729,33916.003996003994,98.867204
45,75235,36076.72327672328,98.961336
35,115584,55424.8951048951,99.246137
30,143697,68905.65434565434,99.300037
19,246319,118115.004995005,99.404723
13,368188,176553.6863136863,99.434803
12,401143,192356.2837162837,99.442079
10,474163,227370.86913086913,99.45404
9,566978,271877.56243756245,99.46242
3,1730229,829680.2397602397,99.495793
2,1773101,850238.2417582417,99.496107
