crf,filesize,bitrate,vmaf
63,118862,14920.618648367341,70.315478
62,151337,18997.17036889812,75.631502
61,179885,22580.770015324986,78.910603
60,203887,25593.71518533822,80.92583
59,228333,28662.39519642661,82.739361
58,248383,31179.250069302427,84.069538
57,271977,34140.97943940876,85.323982
56,292714,36744.07268124546,86.336475
54,335235,42081.68794556229,87.911261
52,380927,47817.35541944966,89.230958
51,407488,51151.52909917307,89.832969
49,458805,57593.29675560042,90.901317
48,485997,61006.67918468966,91.349926
46,547792,68763.73887892211,92.194003
45,583494,73245.3724286185,92.63581
44,617020,77453.85504547808,92.99858
42,696940,87486.12643900601,93.689957
41,739772,92862.78119785973,94.006016
39,836745,105035.69728700619,94.534773
36,1003431,125959.61106955871,95.138253
35,1064991,133687.17146727617,95.305975
32,1284658,161261.73303136654,95.764461
30,1457002,182895.88945086327,95.977741
29,1537328,192979.12558645543,96.049346
28,1629877,204596.7017275918,96.131433
27,1712119,214920.4512764722,96.19054
24,2060020,258592.08853973253,96.410728
20,2450295,307582.8883158726,96.575056
19,2599169,326270.8809515092,96.630624
16,2956134,371080.31235779927,96.757687
14,3268437,410283.37107918266,96.833789
12,3599577,451851.0180918558,96.898158
9,4475068,561750.4589651186,97.018732
8,4896727,614680.8584086071,97.07145
7,5283228,663197.9120356084,97.106732
6,6109636,766936.0168627185,97.148091
1,8903316,1117623.6538330778,97.240131
