crf,filesize,bitrate,vmaf
63,26775,32097.902097902097,76.431304
62,32792,39311.08891108891,80.461507
61,38521,46179.02097902098,83.202482
60,43007,51556.843156843155,84.700588
58,51368,61580.01998001998,87.052101
56,59207,70977.42257742258,89.021993
55,63210,75776.22377622378,89.766911
52,74863,89745.85414585414,91.217337
50,83631,100256.94305694306,92.195611
49,87062,104370.02997002998,92.561226
46,102128,122431.16883116882,93.416808
45,108531,130107.09290709291,93.751109
43,121713,145909.6903096903,94.365626
41,134883,161697.9020979021,94.754127
38,160226,192079.1208791209,95.315845
35,188274,225703.09690309694,95.797207
33,211892,254016.38361638362,96.078691
31,238894,286386.4135864136,96.335276
27,292496,350644.5554445555,96.570356
23,364413,436858.7412587413,96.727977
15,535831,642354.8451548452,96.944965
13,599170,718285.7142857143,97.022892
11,646268,774746.8531468532,97.060989
7,795078,953140.4595404596,97.163075
5,1052964,1262294.5054945054,97.268026
1,1361757,1632475.9240759243,97.297183
