crf,filesize,bitrate,vmaf
63,18119,9873.21769139951,76.644419
62,22154,12071.928071928072,79.862486
60,28923,15760.421396785034,84.286844
59,31616,17227.863046044862,85.796173
56,39191,21355.55353737172,88.507331
55,41784,22768.504223049677,89.272099
52,48902,26647.171010807375,91.028683
50,54430,29659.431477613292,92.049862
48,60327,32872.76360003633,92.873455
46,66154,36047.95204795205,93.548914
42,82414,44908.18272636454,95.143898
41,86838,47318.862955226585,95.384471
39,97409,53079.102715466346,95.934337
37,109410,59618.563254926885,96.428365
34,133768,72891.47216419943,97.026852
30,175423,95589.68304422848,97.80841
27,207849,113258.92289528652,98.189532
24,254001,138407.5924075924,98.544898
22,280441,152815.00317863954,98.633665
18,352465,192061.57478884753,98.755232
17,383845,209160.83916083915,98.779519
16,400275,218113.70447734083,98.791947
12,592155,322670.96539823816,98.912782
11,666407,363131.5956770502,98.937372
10,741765,404194.8960130779,98.953512
8,1031202,561911.9062755427,98.996351
