crf,filesize,bitrate,vmaf
63,52057,11346.544364726184,71.562002
62,65728,14326.328217237307,74.485705
60,86634,18883.08055580783,78.607858
59,95841,20889.873762601037,79.87413
55,130719,28492.017073835254,83.768551
53,147448,32138.33439287985,85.14041
49,193174,42104.949595858685,87.20464
48,206320,44970.302424847876,87.744852
47,219344,47809.063663609115,88.25454
46,232419,50658.94105894106,88.748049
43,282219,61513.54100445009,90.133787
42,303575,66168.37707746799,90.548069
41,323804,70577.5678866588,90.928624
40,342689,74693.81527563346,91.263949
39,369412,80518.463354827,91.696339
38,397843,86715.39369721188,92.063496
36,454917,99155.46271909907,92.791154
32,598314,130410.82553809826,93.812861
31,642489,140039.37880301516,94.034736
30,684455,149186.44991372264,94.201427
27,822955,179374.4437380801,94.750436
26,883272,192521.36953955135,94.953628
24,1008338,219781.23694487332,95.224856
23,1062771,231645.66342748163,95.324591
21,1213917,264590.02815366455,95.534087
20,1292476,281713.05058577785,95.617836
14,1740931,379460.03087821265,96.024007
13,1846188,402402.25229316135,96.110177
11,2108021,459472.3821632913,96.285111
8,2790037,608127.2182363092,96.609175
7,3150240,686638.4524566344,96.728445
6,3644505,794370.3569158115,96.825807
5,4189944,913256.3436563436,96.875743
3,5250947,1144516.6469893744,96.961977
2,5499734,1198743.2204159475,96.963889
