crf,filesize,bitrate,vmaf
63,22484,7592.632719393283,91.745427
62,27525,9294.930421690984,94.110238
60,34411,11620.267056886774,96.600739
58,41021,13852.401120006756,97.841594
57,43788,14786.790674114616,98.084673
54,52484,17723.34707545975,98.818256
53,55380,18701.2987012987,99.04823
50,63557,21462.593744283884,99.477343
49,66218,22361.18810766698,99.6041
48,69361,23422.54928170421,99.736943
46,76048,25680.685511671432,99.824721
44,82388,27821.643145586804,99.856464
41,94025,31751.34724430499,99.885106
39,104050,35136.69429162386,99.89927
38,110682,37376.25754527163,99.902774
36,120031,40533.325829100475,99.907705
32,146823,49580.7291300249,99.918279
26,196587,66385.55810386797,99.935941
22,242221,81795.7254013592,99.942138
20,266224,89901.30995764799,99.943435
14,369434,124754.344247302,99.946563
9,569143,192194.17202515795,99.951565
8,716614,241993.72458527386,99.954262
7,890547,300729.2425883975,99.955305
