crf,filesize,bitrate,vmaf
63,26699,13619.912002890725,87.41887
62,32426,16541.41603077773,90.132055
61,37451,19104.810083533488,91.539977
59,45636,23280.209152549578,93.23338
58,49149,25072.28941271494,93.764651
56,56358,28749.80338810126,94.560316
55,58617,29902.18292345952,94.79748
51,70630,36030.3526260973,95.528262
46,88239,45013.19956639106,95.996135
45,91664,46760.38854762259,96.085497
43,100761,51401.024507407485,96.273726
37,132365,67523.11518268964,96.615574
35,144053,73485.49323017408,96.736213
33,158674,80944.07719939634,96.802475
27,217147,110772.80166641867,96.905823
18,322081,164302.59102599527,97.085518
6,593871,302950.3262694752,97.251592
3,983270,501593.7254235127,97.288118
1,1195823,610022.9982783174,97.304706
