crf,filesize,bitrate,vmaf
63,39349,9626.862932985383,87.851108
61,56081,13720.40204693266,90.940511
60,62468,15283.00271157414,91.57659
59,69053,16894.044730779424,92.160961
58,75378,18441.47689045648,92.712498
55,92473,22623.825154437396,93.716104
54,98028,23982.874268588555,93.940413
50,123825,30294.19560031805,94.501775
48,138794,33956.41093600277,94.811958
46,153715,37606.882913005364,95.035276
42,195625,47860.302962343776,95.48121
39,232255,56821.95355664743,95.822903
38,250491,61283.45124263491,95.956891
36,283946,69468.32759077656,96.112503
34,319979,78283.9201614712,96.223481
32,361088,88341.37291280148,96.335923
30,409296,100135.61948255825,96.464144
27,476493,116575.5876776285,96.572053
26,506538,123926.19625272686,96.608453
23,621032,151937.5318558992,96.741481
16,788484,192905.21723174784,96.80942
13,893496,218596.7501885869,96.825129
5,2387475,584103.6514505903,97.03001
2,3022734,739521.8658892128,97.099369
1,3062705,749300.9031784541,97.099851
