crf,filesize,bitrate,vmaf
63,17781,4220.967151660221,91.933813
62,21073,5002.443101453002,93.452664
61,23648,5613.7130196536145,94.4876
59,27983,6642.782959614642,95.380028
58,29455,6992.215705086993,95.57707
57,31566,7493.338344823494,95.832868
55,35402,8403.952483160405,96.098459
51,41904,9947.438699913948,96.330595
45,54945,13043.194429333043,96.611192
41,66528,15792.840822543794,96.828604
35,90181,21407.740774077407,96.95072
32,113256,26885.431400282887,97.032838
30,131760,31278.02890179128,97.055313
20,226331,53727.89586650973,97.165431
13,235009,55787.93483743979,97.169914
4,772902,183476.40478333549,97.222695
1,1096559,260308.16708044428,97.251148
