crf,filesize,bitrate,vmaf
63,22112,15147.366918795491,72.599069
62,28594,19587.72655915513,75.79943
61,34466,23610.218353075496,78.182446
60,38545,26404.452690166974,79.370586
55,61572,42178.62137862138,83.938141
50,85456,58539.86013986014,87.178631
47,103155,70664.19294990723,88.847066
46,108643,74423.6335093478,89.358734
41,147015,100709.57613814757,91.632244
39,163630,112091.33723419438,92.38034
36,195589,133984.1872413301,93.301689
34,221995,152073.0697873555,93.841773
33,233487,159945.42600256886,94.051791
32,249170,170688.73983159696,94.272009
30,280507,192155.50164121593,94.692268
29,293920,201343.79905808478,94.836741
22,418236,286503.8961038961,95.949173
20,450462,308579.6489225061,96.085643
18,495687,339560.0970458113,96.19554
13,666678,456693.9346367918,96.565196
11,772244,529009.7331240188,96.754808
10,850550,582651.6340802056,96.817028
7,1197386,820244.4412730127,97.047993
6,1485306,1017478.0647923505,97.135325
4,1919380,1314831.4542600259,97.266203
3,2228971,1526910.346796061,97.309816
1,2350941,1610463.3652062225,97.323449
