crf,filesize,bitrate,vmaf
63,30830,67198.25628916538,57.049097
62,37556,81858.50513123239,62.089916
61,46111,100505.31286894924,67.034316
60,51372,111972.3912451185,70.028539
59,57754,125882.84442829897,73.208245
57,71387,155597.8566887658,78.390173
55,84377,183911.36136590684,82.696498
53,98175,213986.01398601398,86.965992
52,105787,230577.42257742258,88.880583
50,122269,266502.22504767956,92.287026
48,139823,304763.6000363273,94.689758
46,159793,348290.98174552724,96.915583
45,169707,369899.91826355463,97.725294
44,182562,397919.1717373536,98.329977
43,193974,422793.2067932068,98.765245
42,206172,449380.4377440741,99.074671
41,219557,478554.8996458087,99.237367
40,234457,511031.51394060487,99.410437
39,248268,541134.5018617746,99.457618
38,264046,575524.838797566,99.499872
36,297700,648878.3943329398,99.51654
20,674288,1469704.1140677503,99.67756
16,807757,1760618.2908001088,99.698599
13,967492,2108782.853510126,99.712524
10,1198245,2611740.9862864404,99.730597
8,1442456,3144032.6945781494,99.740097
7,1613543,3516940.5140314233,99.744323
6,1755764,3826930.8872945234,99.747528
2,2872907,6261898.828444283,99.761088
1,2941497,6411400.236127509,99.761343
