crf,filesize,bitrate,vmaf
63,19003,9693.965608859226,68.624444
60,26189,13359.746636342381,77.168864
59,28111,14340.212978510852,79.123672
55,36399,18568.15524900631,84.111288
52,43344,22110.99538759113,87.220735
51,45675,23300.10415116798,88.195118
48,53322,27201.054264884056,90.145451
44,66340,33841.90277807299,92.584842
43,69615,35512.57253384913,93.035411
41,78155,39869.06710310966,94.110237
38,90453,46142.6233341127,95.191654
36,100891,51467.341169468826,95.769985
33,120381,61409.739196973234,96.494697
32,126731,64649.05307458499,96.698269
31,134154,68435.73447828768,96.902945
27,166512,84942.46179352562,97.390478
24,196984,100487.0873807044,97.687726
23,208004,106108.69981082747,97.719364
13,370304,188902.5017535656,97.897261
10,478403,244046.84677025102,98.007718
9,537509,274198.48236869514,98.051762
7,699199,356681.1061279146,98.143962
4,1305909,666180.967968202,98.297464
1,1802775,919646.3111356728,98.373371
