crf,filesize,bitrate,vmaf
63,84852,7318.034483502109,89.747558
62,100839,8696.828351504611,92.952861
60,125810,10850.444519509267,95.301175
58,147004,12678.31449126413,96.489835
56,166173,14331.53896463249,97.144669
55,177146,15277.901954160947,97.407278
53,196910,16982.44201841324,97.790935
52,206481,17807.889951774843,97.958763
51,215667,18600.13367927037,98.05124
48,247890,21379.19634322512,98.367639
46,268960,23196.37197335039,98.524282
44,296955,25610.79208561223,98.690805
42,326788,28183.729939125624,98.82411
41,344801,29737.25555020519,98.869882
39,380170,32787.644010665594,98.950497
35,468636,40417.366805856014,99.106397
32,550332,47463.21304594686,99.191469
31,589101,50806.83345431547,99.229976
30,618990,53384.60101050029,99.254537
27,724884,62517.39627279195,99.312945
17,1258308,108522.3840907294,99.418265
11,2141761,184715.51470112623,99.473129
9,2789645,240592.06980070288,99.491622
8,3531028,304532.4172230647,99.507304
7,4288692,369876.914452454,99.522509
2,9199847,793437.9577257275,99.578318
