crf,filesize,bitrate,vmaf
63,39451,8839.982447459082,93.583975
62,45574,10211.993613862773,96.247272
61,50978,11422.8948621472,97.944624
58,63437,14214.645167916196,98.974727
57,67205,15058.959731856929,99.286174
56,70280,15747.990327429581,99.459844
55,74290,16646.531039054404,99.577725
52,84941,19033.153762125727,99.808267
51,88088,19738.317757009347,99.856704
47,103626,23219.994958312716,99.919976
45,111328,24945.820534605584,99.938081
38,151389,33922.48872622704,99.956506
32,196490,44028.49486961636,99.96348
23,312265,69970.77688666474,99.969734
17,420125,94139.50535445863,99.970113
2,3976838,891109.9367921798,99.97252
