crf,filesize,bitrate,vmaf
63,32508,10825.174825174825,92.372023
61,44198,14717.948717948717,94.366997
60,48391,16114.219114219113,94.79564
58,56085,18676.323676323675,95.491925
57,60179,20039.62703962704,95.715183
55,66162,22031.968031968034,95.930803
51,78854,26258.408258408257,96.189891
47,93287,31064.602064602066,96.372741
40,127473,42448.55144855145,96.583059
37,147262,49038.295038295044,96.695738
35,162990,54275.72427572428,96.771361
30,210873,70220.77922077922,96.854666
27,238971,79577.42257742258,96.898655
24,293932,97879.45387945387,96.978585
21,336272,111978.68797868799,97.021746
2,1210638,403142.85714285716,97.029667
1,1249712,416154.5121545121,97.029863
