crf,filesize,bitrate,vmaf
63,108209,22758.084021241917,54.066279
62,133509,28079.07881592092,59.377771
61,156158,32842.52589515748,63.518428
59,197031,41438.77175456123,69.31947
57,236514,49742.678374257324,73.943596
56,255861,53811.66202218834,76.009476
54,294873,62016.509805983485,79.556522
52,338276,71144.85514485514,82.904385
51,363953,76545.13907145486,84.510999
50,388168,81637.94100636205,85.907367
48,439621,92459.33014354066,88.835952
47,468280,98486.77638151323,90.060573
46,498554,104853.88295914611,91.113175
44,567823,119422.26194857772,93.201428
43,606521,127561.07050843895,94.079957
40,732695,154097.4814659025,95.677687
39,779792,164002.73410799724,96.17662
38,831421,174861.13886113887,96.613069
37,883392,185791.47168620853,97.010709
35,999166,210140.5962458594,97.624536
34,1071043,225257.47936274254,97.823618
31,1289830,271271.8860087281,98.214328
29,1453759,305748.7775382512,98.417074
27,1619614,340630.73768336925,98.54469
25,1803504,379305.74688469426,98.682288
23,2011811,423116.04185288394,98.783804
20,2276430,478769.65140123037,98.907244
19,2412048,507292.2866607077,98.942908
17,2632473,553651.1909143488,98.993536
13,3363256,707346.5481886535,99.1131
11,3943000,829275.9871707238,99.169884
10,4231888,890033.7557179664,99.194172
3,10727193,2256100.3207319,99.290648
1,11004230,2314365.6343656345,99.293718
