crf,filesize,bitrate,vmaf
63,117321,14064.455544455544,56.611248
59,213826,25633.486513486518,67.76467
57,258627,31004.235764235764,71.473257
56,279456,33501.218781218784,72.865583
54,326001,39081.03896103896,75.488482
53,350812,42055.38461538462,76.852595
52,375135,44971.22877122877,78.01827
50,434045,52033.36663336663,80.263749
49,468592,56174.86513486513,81.376092
48,505996,60658.86113886114,82.420909
46,579316,69448.47152847153,84.398431
45,624668,74885.27472527472,85.38166
44,672335,80599.6003996004,86.249365
42,783784,93960.11988011988,87.893271
41,838228,100486.87312687314,88.575481
40,902950,108245.75424575424,89.307642
39,971250,116433.56643356643,89.907934
37,1125796,134960.55944055945,91.065259
36,1211598,145246.5134865135,91.555335
35,1303519,156266.01398601398,91.915762
34,1429426,171359.76023976025,92.38322
31,1769026,212071.04895104893,93.392372
29,2000597,239831.8081918082,93.965209
26,2417067,289758.28171828174,94.54093
25,2580036,309295.024975025,94.653924
16,4190790,502392.4075924076,95.396696
13,5084975,609587.4125874126,95.728007
12,5482302,657219.020979021,95.860797
9,6985485,837420.7792207793,96.166984
8,7898453,946867.4925074925,96.311155
7,8823836,1057802.5174825175,96.426136
4,13181159,1580158.921078921,96.721274
1,15772644,1890826.4535464535,96.858407
