crf,filesize,bitrate,vmaf
63,44036,45904.70399166052,76.329578
62,55464,57817.66060026929,80.72329
61,65332,68104.41732180862,83.22499
60,73378,76491.85597011684,84.874734
59,81150,84593.66720236285,86.003243
57,95883,99951.87421274379,87.985069
56,102530,106880.94514181472,88.861374
55,110034,114703.38357294879,89.694862
53,124294,129568.51843808366,90.844418
51,137774,143620.55335968378,91.82587
48,159446,166212.22256004866,93.025194
45,186061,193956.65204360857,93.851562
43,206518,215281.76171654434,94.344146
42,219190,228491.5084915085,94.649146
41,229373,239106.63249793684,94.869633
39,255156,265983.7553750597,95.246637
38,268266,279650.08904139337,95.41955
37,284872,296960.77835208265,95.600851
36,300103,312838.1184033358,95.711494
35,319989,333567.99722017115,95.850868
33,358040,373233.7227989402,96.061592
30,433852,452262.86756721535,96.356231
29,456093,475447.68275203055,96.436352
27,504900,526325.8480649785,96.570578
26,533458,556095.7303565999,96.638126
24,594176,619390.3487816532,96.762459
20,681964,710903.7049906615,96.88219
18,766588,799118.7942492291,96.958314
17,785662,819002.2151761281,96.974688
9,1073777,1119343.6129088302,97.184033
8,1124121,1171824.0020848715,97.210496
6,1252061,1305193.2415410676,97.257831
4,1552706,1618596.3601615776,97.339408
2,1904938,1985775.615688659,97.390494
