crf,filesize,bitrate,vmaf
63,54115,16218.281718281718,68.163779
62,66916,20054.745254745256,72.700007
61,78374,23488.71128871129,75.969361
60,87314,26168.031968031966,78.134049
58,105842,31720.879120879126,81.203544
57,114311,34259.04095904096,82.437138
56,122892,36830.769230769234,83.685358
53,148973,44647.25274725275,85.984146
52,158914,47626.57342657343,86.65844
50,177823,53293.606393606395,87.887205
49,188891,56610.689310689304,88.498451
47,212632,63725.87412587413,89.686513
45,238266,71408.39160839161,90.674706
44,254841,76375.92407592408,91.215333
43,270610,81101.8981018981,91.672605
42,289823,86860.03996003995,92.122522
40,328910,98574.42557442558,92.962897
39,350121,104931.36863136863,93.316134
38,371676,111391.40859140859,93.61344
35,450636,135055.74425574427,94.349732
33,509887,152813.2867132867,94.785211
32,546497,163785.3146853147,94.992547
30,629481,188655.64435564436,95.387736
28,705411,211411.88811188814,95.637492
23,948862,284374.2257742258,96.02904
20,1072796,321517.2827172827,96.218119
12,1680137,503537.5624375625,96.496393
11,1839922,551425.1748251749,96.557984
10,1931277,578804.2957042957,96.587725
7,2675031,801707.5924075923,96.808538
3,4440135,1330709.7902097902,96.974378
1,4808993,1441256.6433566434,96.992862
