crf,filesize,bitrate,vmaf
63,63411,23035.509944600853,64.087981
62,79032,28710.198892017077,69.2912
61,92421,33574.06230133503,72.702174
60,104105,37818.54509127236,75.378974
59,115794,42064.84424666243,77.388253
58,125710,45667.060212514756,78.87282
56,147784,53685.95041322314,81.595994
54,168635,61260.557624193985,83.544164
53,179983,65382.98065570793,84.444509
51,204598,74324.94777949325,85.980086
49,231265,84012.35128507856,87.498016
47,264637,96135.50086277358,88.889407
46,280271,101814.9123603669,89.517967
45,298306,108366.54254836074,90.067908
44,320143,116299.33702660975,90.627515
43,339675,123394.78703115066,91.103548
42,361511,131327.21823630916,91.579878
41,386672,140467.53246753247,92.080411
40,410912,149273.27218236311,92.497739
39,437698,159003.90518572336,92.877897
38,466483,169460.72109708472,93.229917
37,499411,181422.57742257742,93.572675
36,528286,191912.0879120879,93.805701
35,567206,206050.67659613115,94.109378
31,757286,275101.62564708025,95.062824
30,799905,290583.9614930524,95.22777
28,905172,328824.62991553894,95.516662
27,964434,350352.9198074653,95.611026
25,1079883,392292.43483788933,95.786008
23,1218631,442695.8496049405,95.937318
22,1292295,469455.9985469076,96.005995
17,1632585,593074.198528744,96.251171
12,2173064,789415.675233857,96.580134
11,2349650,853564.6172009809,96.675564
7,3275689,1189969.6666969394,97.016771
1,5378928,1954019.7983834345,97.058793
